Author,Author URL,Deep Or Simple,Quote,Tags,Sum of Quote Length,Sum of Tag Count
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,Any fool can know. The point is to understand.,"knowledge, learning, understanding, wisdom",46,4
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,Anyone who has never made a mistake has never tried anything new.,mistakes,65,1
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",music,145,1
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,"If you can't explain it to a six year old, you don't understand it yourself.","simplicity, understand",76,2
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.","children, fairy-tales",136,2
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,"Life is like riding a bicycle. To keep your balance, you must keep moving.","life, simile",74,2
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,Logic will get you from A to Z; imagination will get you everywhere.,imagination,68,1
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,"change, deep-thoughts, thinking, world",113,4
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"inspirational, life, live, miracle, miracles",129,5
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,Simple,Try not to become a man of success. Rather become a man of value.,"adulthood, success, value",65,3
Alexandre Dumas fils,http://quotes.toscrape.com/author/Alexandre-Dumas-fils,Simple,The difference between genius and stupidity is: genius has its limits.,misattributed-to-einstein,70,1
Alfred Tennyson,http://quotes.toscrape.com/author/Alfred-Tennyson,Simple,If I had a flower for every time I thought of you...I could walk through my garden forever.,"friendship, love",91,2
Allen Saunders,http://quotes.toscrape.com/author/Allen-Saunders,Simple,Life is what happens to us while we are making other plans.,"fate, life, misattributed-john-lennon, planning, plans",59,5
André Gide,http://quotes.toscrape.com/author/Andre-Gide,Simple,It is better to be hated for what you are than to be loved for what you are not.,"life, love",80,2
Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,Deep,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",love,695,1
Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,Simple,"One good thing about music, when it hits you, you feel no pain.",music,63,1
Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,Simple,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",friendship,95,1
C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,Deep,"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",love,514,1
C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,Simple,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.","christianity, faith, religion, sun",130,4
C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,Simple,Some day you will be old enough to start reading fairy tales again.,"age, fairytales, growing-up",67,3
C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,Simple,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,god,124,1
C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,Simple,You can never get a cup of tea large enough or a book long enough to suit me.,"books, inspirational, reading, tea",77,4
Charles Bukowski,http://quotes.toscrape.com/author/Charles-Bukowski,Deep,"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",alcohol,250,1
Charles Bukowski,http://quotes.toscrape.com/author/Charles-Bukowski,Simple,Some people never go crazy. What truly horrible lives they must lead.,humor,69,1
Charles M. Schulz,http://quotes.toscrape.com/author/Charles-M-Schulz,Simple,All you need is love. But a little chocolate now and then doesn't hurt.,"chocolate, food, humor",71,3
Douglas Adams,http://quotes.toscrape.com/author/Douglas-Adams,Simple,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.","life, navigation",93,2
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,Deep,I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!,troubles,204,1
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,Simple,"A person's a person, no matter how small.",inspirational,41,1
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,Simple,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",fantasy,90,1
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,Simple,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.","learning, reading, seuss",106,3
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,Simple,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!","humor, philosophy",105,2
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,Simple,"Today you are You, that is truer than true. There is no one alive who is Youer than You.","comedy, life, yourself",88,3
E.E. Cummings,http://quotes.toscrape.com/author/E-E-Cummings,Simple,It takes courage to grow up and become who you really are.,courage,58,1
Eleanor Roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,Simple,A woman is like a tea bag; you never know how strong it is until it's in hot water.,misattributed-eleanor-roosevelt,83,1
Eleanor Roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,Simple,Do one thing every day that scares you.,"attributed, fear, inspiration",39,3
